fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,R/W,quality
5.6,0.620,0.03,1.5,0.080,6,13,0.99498,3.66,0.62,10.1,R,4
5.6,0.660,0.00,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,R,7
5.6,0.660,0.00,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,R,7
5.6,0.660,0.00,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,R,5
5.6,0.850,0.05,1.4,0.045,12,88,0.99240,3.56,0.82,12.9,R,8
5.6,0.915,0.00,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,R,5
5.7,0.600,0.00,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,R,6
5.7,1.130,0.09,1.5,0.172,7,19,0.99400,3.50,0.48,9.8,R,4
5.8,0.290,0.26,1.7,0.063,3,11,0.99150,3.39,0.54,13.5,R,6
5.8,0.610,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,R,6
5.8,0.680,0.02,1.8,0.087,21,94,0.99440,3.54,0.52,10.0,R,5
5.8,1.010,0.66,2.0,0.039,15,88,0.99357,3.66,0.60,11.5,R,6
5.9,0.190,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,R,5
5.9,0.290,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,R,6
5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,R,6
5.9,0.440,0.00,1.6,0.042,3,11,0.99440,3.48,0.85,11.7,R,6
5.9,0.460,0.00,1.9,0.077,25,44,0.99385,3.50,0.53,11.2,R,5
5.9,0.550,0.10,2.2,0.062,39,51,0.99512,3.52,0.76,11.2,R,6
5.9,0.610,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,R,6
5.9,0.610,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,R,6
5.9,0.645,0.12,2.0,0.075,32,44,0.99547,3.57,0.71,10.2,R,5
6.0,0.310,0.47,3.6,0.067,18,42,0.99549,3.39,0.66,11.0,R,6
6.0,0.330,0.32,12.9,0.054,6,113,0.99572,3.30,0.56,11.5,R,4
6.0,0.420,0.19,2.0,0.075,22,47,0.99522,3.39,0.78,10.0,R,6
6.0,0.490,0.00,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,R,6
6.0,0.500,0.00,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,R,5
6.0,0.500,0.00,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,R,5
6.0,0.500,0.00,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,R,5
6.0,0.500,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10.0,R,5
6.0,0.510,0.00,2.1,0.064,40,54,0.99500,3.54,0.93,10.7,R,6
6.0,0.510,0.00,2.1,0.064,40,54,0.99500,3.54,0.93,10.7,R,6
6.0,0.540,0.06,1.8,0.050,38,89,0.99236,3.30,0.50,10.6,R,6
6.0,0.580,0.20,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,R,6
6.0,0.640,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,R,5
6.1,0.210,0.40,1.4,0.066,40.5,165,0.99120,3.25,0.59,11.9,R,6
6.1,0.320,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,R,5
6.1,0.320,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,R,5
6.1,0.320,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,R,5
6.1,0.340,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,R,5
6.1,0.380,0.15,1.8,0.072,6,19,0.99550,3.42,0.57,9.4,R,5
6.1,0.400,0.16,1.8,0.069,11,25,0.99550,3.42,0.74,10.1,R,7
6.1,0.480,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,R,6
6.1,0.530,0.08,1.9,0.077,24,45,0.99528,3.60,0.68,10.3,R,6
6.1,0.560,0.00,2.2,0.079,6,9,0.99480,3.59,0.54,11.5,R,6
6.1,0.580,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,R,6
6.1,0.590,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,R,5
6.1,0.600,0.08,1.8,0.071,14,45,0.99336,3.38,0.54,11.0,R,5
6.1,0.640,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11.0,R,5
6.1,0.705,0.10,2.8,0.081,13,28,0.99631,3.60,0.66,10.2,R,5
6.1,0.715,0.10,2.6,0.053,13,27,0.99362,3.57,0.50,11.9,R,5
6.2,0.360,0.24,2.2,0.095,19,42,0.99460,3.57,0.57,11.7,R,6
6.2,0.360,0.24,2.2,0.095,19,42,0.99460,3.57,0.57,11.7,R,6
6.2,0.390,0.43,2.0,0.071,14,24,0.99428,3.45,0.87,11.2,R,7
6.2,0.430,0.22,1.8,0.078,21,56,0.99633,3.52,0.60,9.5,R,6
6.2,0.440,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11.0,R,6
6.2,0.450,0.20,1.6,0.069,3,15,0.99580,3.41,0.56,9.2,R,5
6.2,0.460,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,R,5
6.2,0.460,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,R,5
6.2,0.510,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,R,6
6.2,0.520,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,R,6
6.2,0.560,0.09,1.7,0.053,24,32,0.99402,3.54,0.60,11.3,R,5
6.2,0.560,0.09,1.7,0.053,24,32,0.99402,3.54,0.60,11.3,R,5
6.2,0.570,0.10,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,R,6
6.2,0.580,0.00,1.6,0.065,8,18,0.99660,3.56,0.84,9.4,R,5
6.2,0.600,0.08,2.0,0.090,32,44,0.99490,3.45,0.58,10.5,R,5
6.2,0.630,0.31,1.7,0.088,15,64,0.99690,3.46,0.79,9.3,R,5
6.2,0.640,0.09,2.5,0.081,15,26,0.99538,3.57,0.63,12.0,R,5
6.2,0.650,0.06,1.6,0.050,6,18,0.99348,3.57,0.54,12.0,R,5
6.2,0.700,0.15,5.1,0.076,13,27,0.99622,3.54,0.60,11.9,R,6
6.2,0.785,0.00,2.1,0.060,6,13,0.99664,3.59,0.61,10.0,R,4
6.3,0.300,0.48,1.8,0.069,18,61,0.99590,3.44,0.78,10.3,R,6
6.3,0.360,0.19,3.2,0.075,15,39,0.99560,3.56,0.52,12.7,R,6
6.3,0.390,0.08,1.7,0.066,3,20,0.99540,3.34,0.58,9.4,R,5
6.3,0.390,0.16,1.4,0.080,11,23,0.99550,3.34,0.56,9.3,R,5
6.3,0.470,0.00,1.4,0.055,27,33,0.99220,3.45,0.48,12.3,R,6
6.3,0.510,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11.0,R,6
6.3,0.510,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11.0,R,6
6.3,0.550,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,R,6
6.3,0.570,0.28,2.1,0.048,13,49,0.99374,3.41,0.60,12.8,R,5
6.3,0.600,0.10,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,R,5
6.3,0.680,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,R,6
6.3,0.760,0.00,2.9,0.072,26,52,0.99379,3.51,0.60,11.5,R,6
6.3,0.980,0.01,2.0,0.057,15,33,0.99488,3.60,0.46,11.2,R,6
6.3,1.020,0.00,2.0,0.083,17,24,0.99437,3.59,0.55,11.2,R,4
6.4,0.310,0.09,1.4,0.066,15,28,0.99459,3.42,0.70,10.0,R,7
6.4,0.360,0.21,2.2,0.047,26,48,0.99661,3.47,0.77,9.7,R,6
6.4,0.360,0.53,2.2,0.230,19,35,0.99340,3.37,0.93,12.4,R,6
6.4,0.370,0.25,1.9,0.074,21,49,0.99740,3.57,0.62,9.8,R,6
6.4,0.380,0.14,2.2,0.038,15,25,0.99514,3.44,0.65,11.1,R,6
6.4,0.390,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,R,6
6.4,0.400,0.23,1.6,0.066,5,12,0.99580,3.34,0.56,9.2,R,5
6.4,0.420,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,R,6
6.4,0.470,0.40,2.4,0.071,8,19,0.99630,3.56,0.73,10.6,R,6
6.4,0.530,0.09,3.9,0.123,14,31,0.99680,3.50,0.67,11.0,R,4
6.4,0.560,0.15,1.8,0.078,17,65,0.99294,3.33,0.60,10.5,R,6
6.4,0.570,0.02,1.8,0.067,4,11,0.99700,3.46,0.68,9.5,R,5
6.4,0.570,0.02,1.8,0.067,4,11,0.99700,3.46,0.68,9.5,R,5
6.4,0.570,0.12,2.3,0.120,25,36,0.99519,3.47,0.71,11.3,R,7
6.4,0.570,0.14,3.9,0.070,27,73,0.99669,3.32,0.48,9.2,R,5
6.4,0.630,0.21,1.6,0.080,12,32,0.99689,3.58,0.66,9.8,R,5
6.4,0.640,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,R,5
6.4,0.640,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,R,5
6.4,0.640,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,R,5
6.4,0.670,0.08,2.1,0.045,19,48,0.99490,3.49,0.49,11.4,R,6
6.4,0.690,0.00,1.7,0.055,7,12,0.99162,3.47,0.53,12.9,R,6
6.4,0.790,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,R,6
6.4,0.795,0.00,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,R,5
6.4,0.865,0.03,3.2,0.071,27,58,0.99500,3.61,0.49,12.7,R,6
6.4,0.885,0.00,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,R,5
6.5,0.340,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12.0,R,6
6.5,0.390,0.23,8.3,0.051,28,91,0.99520,3.44,0.55,12.1,R,6
6.5,0.400,0.10,2.0,0.076,30,47,0.99554,3.36,0.48,9.4,R,6
6.5,0.460,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,R,5
6.5,0.460,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,R,5
6.5,0.510,0.15,3.0,0.064,12,27,0.99290,3.33,0.59,12.8,R,6
6.5,0.520,0.11,1.8,0.073,13,38,0.99550,3.34,0.52,9.3,R,5
6.5,0.530,0.06,2.0,0.063,29,44,0.99489,3.38,0.83,10.3,R,6
6.5,0.530,0.06,2.0,0.063,29,44,0.99489,3.38,0.83,10.3,R,6
6.5,0.580,0.00,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,R,4
6.5,0.610,0.00,2.2,0.095,48,59,0.99541,3.61,0.70,11.5,R,6
6.5,0.615,0.00,1.9,0.065,9,18,0.99720,3.46,0.65,9.2,R,5
6.5,0.630,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,R,6
6.5,0.670,0.00,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,R,4
6.5,0.880,0.03,5.6,0.079,23,47,0.99572,3.58,0.50,11.2,R,4
6.5,0.885,0.00,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,R,5
6.5,0.900,0.00,1.6,0.052,9,17,0.99467,3.50,0.63,10.9,R,6
6.6,0.390,0.49,1.7,0.070,23,149,0.99220,3.12,0.50,11.5,R,6
6.6,0.440,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,R,6
6.6,0.440,0.15,2.1,0.076,22,53,0.99570,3.32,0.62,9.3,R,5
6.6,0.500,0.00,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,R,6
6.6,0.500,0.01,1.5,0.060,17,26,0.99520,3.40,0.58,9.8,R,6
6.6,0.500,0.04,2.1,0.068,6,14,0.99550,3.39,0.64,9.4,R,6
6.6,0.520,0.04,2.2,0.069,8,15,0.99560,3.40,0.63,9.4,R,6
6.6,0.520,0.08,2.4,0.070,13,26,0.99358,3.40,0.72,12.5,R,7
6.6,0.560,0.14,2.4,0.064,13,29,0.99397,3.42,0.62,11.7,R,7
6.6,0.570,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,R,5
6.6,0.580,0.00,2.2,0.100,50,63,0.99544,3.59,0.68,11.4,R,6
6.6,0.580,0.02,2.0,0.062,37,53,0.99374,3.35,0.76,11.6,R,7
6.6,0.580,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,R,6
6.6,0.610,0.00,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,R,4
6.6,0.610,0.01,1.9,0.080,8,25,0.99746,3.69,0.73,10.5,R,5
6.6,0.610,0.01,1.9,0.080,8,25,0.99746,3.69,0.73,10.5,R,5
6.6,0.630,0.00,4.3,0.093,51,77.5,0.99558,3.20,0.45,9.5,R,5
6.6,0.630,0.00,4.3,0.093,51,77.5,0.99558,3.20,0.45,9.5,R,5
6.6,0.640,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,R,5
6.6,0.660,0.00,3.0,0.115,21,31,0.99629,3.45,0.63,10.3,R,5
6.6,0.695,0.00,2.1,0.075,12,56,0.99680,3.49,0.67,9.2,R,5
6.6,0.700,0.08,2.6,0.106,14,27,0.99665,3.44,0.58,10.2,R,5
6.6,0.705,0.07,1.6,0.076,6,15,0.99620,3.44,0.58,10.7,R,5
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,R,6
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,R,6
6.6,0.725,0.20,7.8,0.073,29,79,0.99770,3.29,0.54,9.2,R,5
6.6,0.735,0.02,7.9,0.122,68,124,0.99940,3.47,0.53,9.9,R,5
6.6,0.735,0.02,7.9,0.122,68,124,0.99940,3.47,0.53,9.9,R,5
6.6,0.800,0.03,7.8,0.079,6,12,0.99630,3.52,0.50,12.2,R,5
6.6,0.815,0.02,2.7,0.072,17,34,0.99550,3.58,0.89,12.3,R,7
6.6,0.840,0.03,2.3,0.059,32,48,0.99520,3.52,0.56,12.3,R,7
6.6,0.840,0.03,2.3,0.059,32,48,0.99520,3.52,0.56,12.3,R,7
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.60,11.0,R,6
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.60,11.0,R,6
6.6,0.880,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,R,5
6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,R,6
6.6,0.960,0.00,1.8,0.082,5,16,0.99360,3.50,0.44,11.9,R,6
6.7,0.160,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,R,6
6.7,0.280,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,R,7
6.7,0.280,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,R,7
6.7,0.320,0.44,2.4,0.061,24,34,0.99484,3.29,0.80,11.6,R,7
6.7,0.410,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,R,6
6.7,0.420,0.27,8.6,0.068,24,148,0.99480,3.16,0.57,11.3,R,6
6.7,0.460,0.24,1.7,0.077,18,34,0.99480,3.39,0.60,10.6,R,6
6.7,0.460,0.24,1.7,0.077,18,34,0.99480,3.39,0.60,10.6,R,6
6.7,0.460,0.24,1.7,0.077,18,34,0.99480,3.39,0.60,10.6,R,6
6.7,0.460,0.24,1.7,0.077,18,34,0.99480,3.39,0.60,10.6,R,6
6.7,0.480,0.02,2.2,0.080,36,111,0.99524,3.10,0.53,9.7,R,5
6.7,0.480,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,R,5
6.7,0.540,0.13,2.0,0.076,15,36,0.99730,3.61,0.64,9.8,R,5
6.7,0.540,0.13,2.0,0.076,15,36,0.99730,3.61,0.64,9.8,R,5
6.7,0.560,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,R,5
6.7,0.580,0.08,1.8,0.097,15,65,0.99590,3.28,0.54,9.2,R,5
6.7,0.620,0.21,1.9,0.079,8,62,0.99700,3.52,0.58,9.3,R,6
6.7,0.640,0.23,2.1,0.080,11,119,0.99538,3.36,0.70,10.9,R,5
6.7,0.640,0.23,2.1,0.080,11,119,0.99538,3.36,0.70,10.9,R,5
6.7,0.670,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,R,6
6.7,0.675,0.07,2.4,0.089,17,82,0.99580,3.35,0.54,10.1,R,5
6.7,0.700,0.08,3.8,0.067,8,16,0.99334,3.43,0.52,12.6,R,5
6.7,0.750,0.01,2.4,0.078,17,32,0.99550,3.55,0.61,12.8,R,6
6.7,0.750,0.12,2.0,0.086,12,80,0.99580,3.38,0.52,10.1,R,5
6.7,0.760,0.02,1.8,0.078,6,12,0.99600,3.55,0.63,10.0,R,3
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.30,0.56,10.8,R,6
6.7,0.860,0.07,2.0,0.100,20,57,0.99598,3.60,0.74,11.7,R,6
6.7,1.040,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11.0,R,4
6.8,0.360,0.32,1.8,0.067,4,8,0.99280,3.36,0.55,12.8,R,7
6.8,0.360,0.32,1.8,0.067,4,8,0.99280,3.36,0.55,12.8,R,7
6.8,0.410,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,R,6
6.8,0.410,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,R,6
6.8,0.470,0.08,2.2,0.064,18,38,0.99553,3.30,0.65,9.6,R,6
6.8,0.480,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,R,5
6.8,0.480,0.25,2.0,0.076,29,61,0.99530,3.34,0.60,10.4,R,5
6.8,0.490,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,R,6
6.8,0.500,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,R,5
6.8,0.510,0.01,2.1,0.074,9,25,0.99580,3.33,0.56,9.5,R,6
6.8,0.560,0.03,1.7,0.084,18,35,0.99680,3.44,0.63,10.0,R,6
6.8,0.560,0.22,1.8,0.074,15,24,0.99438,3.40,0.82,11.2,R,6
6.8,0.560,0.22,1.8,0.074,15,24,0.99438,3.40,0.82,11.2,R,6
6.8,0.570,0.00,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,R,6
6.8,0.590,0.06,6.0,0.060,11,18,0.99620,3.41,0.59,10.8,R,7
6.8,0.590,0.06,6.0,0.060,11,18,0.99620,3.41,0.59,10.8,R,7
6.8,0.590,0.10,1.7,0.063,34,53,0.99580,3.41,0.67,9.7,R,5
6.8,0.590,0.10,1.7,0.063,34,53,0.99580,3.41,0.67,9.7,R,5
6.8,0.600,0.18,1.9,0.079,18,86,0.99680,3.59,0.57,9.3,R,6
6.8,0.610,0.04,1.5,0.057,5,10,0.99525,3.42,0.60,9.5,R,5
6.8,0.610,0.20,1.8,0.077,11,65,0.99710,3.54,0.58,9.3,R,5
6.8,0.620,0.08,1.9,0.068,28,38,0.99651,3.42,0.82,9.5,R,6
6.8,0.630,0.07,2.1,0.089,11,44,0.99530,3.47,0.55,10.4,R,6
6.8,0.630,0.12,3.8,0.099,16,126,0.99690,3.28,0.61,9.5,R,5
6.8,0.640,0.00,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,R,6
6.8,0.640,0.00,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,R,6
6.8,0.640,0.03,2.3,0.075,14,31,0.99545,3.36,0.58,10.4,R,6
6.8,0.640,0.10,2.1,0.085,18,101,0.99560,3.34,0.52,10.2,R,5
6.8,0.650,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,R,6
6.8,0.650,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,R,6
6.8,0.660,0.07,1.6,0.070,16,61,0.99572,3.29,0.60,9.3,R,5
6.8,0.670,0.00,1.9,0.080,22,39,0.99701,3.40,0.74,9.7,R,5
6.8,0.670,0.02,1.8,0.050,5,11,0.99620,3.48,0.52,9.5,R,5
6.8,0.670,0.15,1.8,0.118,13,20,0.99540,3.42,0.67,11.3,R,6
6.8,0.680,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,R,4
6.8,0.680,0.21,2.1,0.070,9,23,0.99546,3.38,0.60,10.3,R,5
6.8,0.690,0.00,5.6,0.124,21,58,0.99970,3.46,0.72,10.2,R,5
6.8,0.690,0.00,5.6,0.124,21,58,0.99970,3.46,0.72,10.2,R,5
6.8,0.770,0.00,1.8,0.066,34,52,0.99760,3.62,0.68,9.9,R,5
6.8,0.775,0.00,3.0,0.102,8,23,0.99650,3.45,0.56,10.7,R,5
6.8,0.785,0.00,2.4,0.104,14,30,0.99660,3.52,0.55,10.7,R,6
6.8,0.810,0.05,2.0,0.070,6,14,0.99562,3.51,0.66,10.8,R,6
6.8,0.815,0.00,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,R,3
6.8,0.830,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,R,5
6.8,0.910,0.06,2.0,0.060,4,11,0.99592,3.53,0.64,10.9,R,4
6.8,0.915,0.29,4.8,0.070,15,39,0.99577,3.53,0.54,11.1,R,5
6.9,0.360,0.25,2.4,0.098,5,16,0.99640,3.41,0.60,10.1,R,6
6.9,0.390,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,R,4
6.9,0.400,0.14,2.4,0.085,21,40,0.99680,3.43,0.63,9.7,R,6
6.9,0.400,0.24,2.5,0.083,30,45,0.99590,3.26,0.58,10.0,R,5
6.9,0.410,0.31,2.0,0.079,21,51,0.99668,3.47,0.55,9.5,R,6
6.9,0.410,0.33,2.2,0.081,22,36,0.99490,3.41,0.75,11.1,R,6
6.9,0.440,0.00,1.4,0.070,32,38,0.99438,3.32,0.58,11.4,R,6
6.9,0.450,0.11,2.4,0.043,6,12,0.99354,3.30,0.65,11.4,R,6
6.9,0.480,0.20,1.9,0.082,9,23,0.99585,3.39,0.43,9.1,R,4
6.9,0.490,0.10,2.3,0.074,12,30,0.99590,3.42,0.58,10.2,R,6
6.9,0.490,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,R,6
6.9,0.500,0.04,1.5,0.085,19,49,0.99580,3.35,0.78,9.5,R,5
6.9,0.510,0.23,2.0,0.072,13,22,0.99438,3.40,0.84,11.2,R,6
6.9,0.520,0.25,2.6,0.081,10,37,0.99685,3.46,0.50,11.0,R,5
6.9,0.520,0.25,2.6,0.081,10,37,0.99685,3.46,0.50,11.0,R,5
6.9,0.540,0.04,3.0,0.077,7,27,0.99870,3.69,0.91,9.4,R,6
6.9,0.540,0.04,3.0,0.077,7,27,0.99870,3.69,0.91,9.4,R,6
6.9,0.540,0.30,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,R,6
6.9,0.550,0.15,2.2,0.076,19,40,0.99610,3.41,0.59,10.1,R,5
6.9,0.560,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,R,5
6.9,0.570,0.00,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,R,5
6.9,0.580,0.01,1.9,0.080,40,54,0.99683,3.40,0.73,9.7,R,5
6.9,0.580,0.20,1.8,0.058,8,22,0.99322,3.38,0.49,11.7,R,5
6.9,0.605,0.12,10.7,0.073,40,83,0.99930,3.45,0.52,9.4,R,6
6.9,0.630,0.01,2.4,0.076,14,39,0.99522,3.34,0.53,10.8,R,6
6.9,0.630,0.02,1.9,0.078,18,30,0.99712,3.40,0.75,9.8,R,5
6.9,0.630,0.02,1.9,0.078,18,30,0.99712,3.40,0.75,9.8,R,5
6.9,0.630,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,R,5
6.9,0.635,0.17,2.4,0.241,6,18,0.99610,3.40,0.59,10.3,R,6
6.9,0.670,0.06,2.1,0.080,8,33,0.99845,3.68,0.71,9.6,R,5
6.9,0.685,0.00,2.5,0.105,22,37,0.99660,3.46,0.57,10.6,R,6
6.9,0.740,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,R,6
6.9,0.740,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,R,6
